Symbol,Name,Market Cap,Country,Sector,Industry
AAPL,Apple Inc. Common Stock,3587438272590.0,United States,Technology,Computer Manufacturing
NVDA,NVIDIA Corporation Common Stock,3385742500000.0,United States,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,3148374613405.0,United States,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,2185965638453.0,United States,Consumer Discretionary,Catalog/Specialty Distribution
GOOG,Alphabet Inc. Class C Capital Stock,2086968090000.0,United States,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,2068116950000.0,United States,Technology,Computer Software: Programming Data Processing
META,Meta Platforms Inc. Class A Common Stock,1449864254273.0,United States,Technology,Computer Software: Programming Data Processing
TSLA,Tesla Inc. Common Stock,1107984191900.0,United States,Consumer Discretionary,Auto Manufacturing
BRK/B,Berkshire Hathaway Inc.,1065692518420.0,United States,,
BRK/A,Berkshire Hathaway Inc.,1064971610960.0,United States,,
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,957723245803.0,Taiwan,Technology,Semiconductors
AVGO,Broadcom Inc. Common Stock,757006971533.0,United States,Technology,Semiconductors
LLY,Eli Lilly and Company Common Stock,755038237223.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations
WMT,Walmart Inc. Common Stock,743538233595.0,United States,Consumer Discretionary,Department/Specialty Retail Stores
JPM,JP Morgan Chase & Co. Common Stock,703046810182.0,United States,Finance,Major Banks
V,Visa Inc.,586954695015.0,United States,Consumer Discretionary,Business Services
UNH,UnitedHealth Group Incorporated Common Stock (DE),561557500607.0,United States,Health Care,Medical Specialities
XOM,Exxon Mobil Corporation Common Stock,518445351467.0,United States,Energy,Integrated oil Companies
ORCL,Oracle Corporation Common Stock,512185725120.0,United States,Technology,Computer Software: Prepackaged Software
MA,Mastercard Incorporated Common Stock,489148868062.0,United States,Consumer Discretionary,Business Services
NVO,Novo Nordisk A/S Common Stock,476566088492.0,Denmark,Health Care,Biotechnology: Pharmaceutical Preparations
COST,Costco Wholesale Corporation Common Stock,430614309140.0,United States,Consumer Discretionary,Department/Specialty Retail Stores
HD,Home Depot Inc. (The) Common Stock,426281697688.0,United States,Consumer Discretionary,RETAIL: Building Materials
PG,Procter & Gamble Company (The) Common Stock,422164780341.0,United States,Consumer Discretionary,Package Goods/Cosmetics
NFLX,Netflix Inc. Common Stock,379074130076.0,United States,Consumer Discretionary,Consumer Electronics/Video Chains
JNJ,Johnson & Johnson Common Stock,373205636890.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations
BAC,Bank of America Corporation Common Stock,364538509748.0,United States,Finance,Major Banks
ABBV,AbbVie Inc. Common Stock,323262979286.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CRM,Salesforce Inc. Common Stock,315470440000.0,United States,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation Common Stock,291002998257.0,United States,Energy,Integrated oil Companies
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),290654024598.0,Japan,Finance,Commercial Banks
TMUS,T-Mobile US Inc. Common Stock,286570572857.0,United States,Telecommunications,Telecommunications Equipment
SAP,SAP  SE ADS,277333623706.0,Germany,Technology,Computer Software: Prepackaged Software
KO,Coca-Cola Company (The) Common Stock,276043640603.0,United States,Consumer Staples,Beverages (Production/Distribution)
ASML,ASML Holding N.V. New York Registry Shares,270127287856.0,Netherlands,Technology,Industrial Machinery/Components
MRK,Merck & Company Inc. Common Stock (new),257112166958.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations
WFC,Wells Fargo & Company Common Stock,253607303496.0,United States,Finance,Major Banks
CSCO,Cisco Systems Inc. Common Stock (DE),235819116575.0,United States,Telecommunications,Computer Communications Equipment
CCZ,Comcast Holdings ZONES,230485897271.0,United States,Telecommunications,Cable & Other Pay Television Services
TM,Toyota Motor Corporation Common Stock,229909797348.0,Japan,Consumer Discretionary,Auto Manufacturing
ADBE,Adobe Inc. Common Stock,227112386000.0,United States,Technology,Computer Software: Prepackaged Software
ACN,Accenture plc Class A Ordinary Shares (Ireland),226540461983.0,Ireland,Consumer Discretionary,Business Services
PEP,PepsiCo Inc. Common Stock,224251606136.0,United States,Consumer Staples,Beverages (Production/Distribution)
AMD,Advanced Micro Devices Inc. Common Stock,222608597688.0,United States,Technology,Semiconductors
LIN,Linde plc Ordinary Shares,219504031704.0,United States,Industrials,Major Chemicals
NVS,Novartis AG Common Stock,216197474699.0,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
NOW,ServiceNow Inc. Common Stock,216184640000.0,United States,Technology,Computer Software: Prepackaged Software
AXP,American Express Company Common Stock,214630269085.0,United States,Finance,Finance: Consumer Services
DIS,Walt Disney Company (The) Common Stock,212731040276.0,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,212627202812.0,China,Consumer Discretionary,Business Services
MCD,McDonald's Corporation Common Stock,212126593253.0,United States,Consumer Discretionary,Restaurants
MS,Morgan Stanley Common Stock,212028392552.0,United States,Finance,Investment Bankers/Brokers/Service
IBM,International Business Machines Corporation Common Stock,210273554016.0,United States,Technology,Computer Manufacturing
AZN,AstraZeneca PLC American Depositary Shares,209661849548.0,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
PM,Philip Morris International Inc Common Stock,206886133535.0,United States,Health Care, Medicinal Chemicals and Botanical Products 
ABT,Abbott Laboratories Common Stock,206001245648.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations
TMO,Thermo Fisher Scientific Inc Common Stock,202583615352.0,United States,Industrials,Industrial Machinery/Components
